<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20230301,190000,162.8600000,162.9800000,162.4300000,162.4400000,1460140
GAZP,60,20230301,200000,162.7400000,162.9500000,162.5000000,162.9100000,672670
GAZP,60,20230301,210000,162.9100000,162.9800000,162.6400000,162.9800000,526500
GAZP,60,20230301,220000,162.9700000,163.9800000,162.9700000,163.7700000,2261430
GAZP,60,20230301,230000,163.7700000,163.9500000,163.5200000,163.8400000,1436280
GAZP,60,20230302,000000,163.8300000,164.5600000,163.7500000,164.5000000,2059240
GAZP,60,20230302,110000,164.1500000,164.3400000,161.9200000,163.6400000,14454640
GAZP,60,20230302,120000,163.6400000,163.6400000,162.7100000,162.7900000,2992950
GAZP,60,20230302,130000,162.7800000,162.7900000,160.8100000,161.5200000,8658350
GAZP,60,20230302,140000,161.5200000,161.6600000,159.5000000,160.6700000,13463920
GAZP,60,20230302,150000,160.6800000,161.9200000,160.1100000,161.9100000,4952640
GAZP,60,20230302,160000,161.9200000,162.0000000,161.0000000,161.0100000,2482580
GAZP,60,20230302,170000,161.0000000,161.5100000,160.5000000,160.6600000,1545130
GAZP,60,20230302,180000,160.6500000,161.3000000,160.6000000,160.8300000,932950
GAZP,60,20230302,190000,160.8400000,161.2900000,160.6600000,161.1900000,884440
GAZP,60,20230302,200000,160.9500000,161.3000000,160.5900000,161.2000000,824820
GAZP,60,20230302,210000,161.2000000,161.4500000,161.0700000,161.1000000,346000
GAZP,60,20230302,220000,161.0900000,161.2000000,160.9700000,161.0700000,246780
GAZP,60,20230302,230000,161.0700000,161.2300000,161.0600000,161.1700000,324220
GAZP,60,20230303,000000,161.1600000,161.8500000,160.6100000,160.9000000,980220
GAZP,60,20230303,110000,161.2000000,162.5000000,160.9000000,161.6300000,5756020
GAZP,60,20230303,120000,161.6400000,163.3000000,161.5500000,162.4100000,5060520
GAZP,60,20230303,130000,162.4100000,162.9000000,162.1000000,162.4700000,1304190
GAZP,60,20230303,140000,162.4500000,162.8900000,162.3200000,162.3800000,1117870
GAZP,60,20230303,150000,162.3700000,162.4500000,161.5000000,161.7700000,1804510
GAZP,60,20230303,160000,161.7700000,162.4200000,161.7000000,162.1500000,939010
GAZP,60,20230303,170000,162.1700000,162.5700000,162.0400000,162.3900000,1068230
GAZP,60,20230303,180000,162.3900000,162.5600000,162.0000000,162.2900000,1012020
GAZP,60,20230303,190000,162.2900000,162.3800000,161.8000000,161.8000000,889580
GAZP,60,20230303,200000,162.1800000,162.5000000,162.0200000,162.1700000,431230
GAZP,60,20230303,210000,162.1700000,162.2900000,161.9000000,162.0400000,473780
GAZP,60,20230303,220000,162.0400000,162.2000000,161.9400000,162.1300000,246040
GAZP,60,20230303,230000,162.1300000,162.3900000,162.1100000,162.3800000,522300
GAZP,60,20230304,000000,162.3900000,162.4800000,162.1600000,162.2700000,650160
GAZP,60,20230306,110000,163.2000000,163.3900000,162.5200000,162.8500000,4464910
GAZP,60,20230306,120000,162.8600000,164.3000000,162.8500000,163.6100000,4811740
GAZP,60,20230306,130000,163.6200000,163.9900000,163.3000000,163.7600000,1463770
GAZP,60,20230306,140000,163.8000000,163.8800000,163.4500000,163.4600000,882000
GAZP,60,20230306,150000,163.4600000,163.6800000,162.9000000,163.6000000,1894690
GAZP,60,20230306,160000,163.5900000,163.8400000,163.3100000,163.7000000,1240640
GAZP,60,20230306,170000,163.7000000,163.9900000,163.4000000,163.7700000,1428460
GAZP,60,20230306,180000,163.7600000,163.9300000,163.4500000,163.6600000,987290
GAZP,60,20230306,190000,163.6800000,163.8100000,163.6700000,163.7100000,413290
